What is your age?,Where do you live?,Do you own or rent your residence?,Do you have children currently in the school district?,Have you had children attend the school district in the past?,Did you attend this school district?,What gender do you identify with?,"What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Schools]","What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Family lives here]","What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Cost of living]","What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Churches]","What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Small town feel]","What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Friends live here]","What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Work]","What has drawn you to live in the district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Community Program and Groups]","What do you see as the biggest challenges in the district community? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Diversity]","What do you see as the biggest challenges in the district community? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Schools]","What do you see as the biggest challenges in the district community? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Cost of Living]","What do you see as the biggest challenges in the district community? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Churches]","What do you see as the biggest challenges in the district community? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Lack of local businesses]","What do you see as the biggest challenges in the district community? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Community Program and Groups]","What is your confidence in the leadership of the governance group in our district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Village]","What is your confidence in the leadership of the governance group in our district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Township]","What is your confidence in the leadership of the governance group in our district? Rank each item on a 1-5 scale, 5 being the highest and 1 being the lowest. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [School District]",Do you see this community as one set up for a sustainable future?,Can you provide more details on why you answered yes or no?,"What do you see as values the school district provides?  Rank each item on a 1-5 scale, 5 being the one you most agree with and 1 being the least you agree with. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Excellent education for our students]","What do you see as values the school district provides?  Rank each item on a 1-5 scale, 5 being the one you most agree with and 1 being the least you agree with. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Preparation for our students’ careers]","What do you see as values the school district provides?  Rank each item on a 1-5 scale, 5 being the one you most agree with and 1 being the least you agree with. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Athletic opportunities]","What do you see as values the school district provides?  Rank each item on a 1-5 scale, 5 being the one you most agree with and 1 being the least you agree with. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Other extracurricular activities ( arts, band, choir, drama, STEM )]","What do you see as values the school district provides?  Rank each item on a 1-5 scale, 5 being the one you most agree with and 1 being the least you agree with. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [A positive face for the community]","What do you see as values the school district provides?  Rank each item on a 1-5 scale, 5 being the one you most agree with and 1 being the least you agree with. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Higher property values]","What do you see as values the school district provides?  Rank each item on a 1-5 scale, 5 being the one you most agree with and 1 being the least you agree with. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Excellent staff and teachers]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Giving students a quality education]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Career preparation]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Facilities in poor condition]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Lack of extracurricular activities]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Being a poor representation of the community]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Teachers and staff]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Administration and School Board]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [High taxes for residents]","What do you believe are the biggest challenges facing the school district? Rank each item on a 1-5 scale, 5 being the biggest challenge with and 1 being the least challenge. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Communication]",What are the primary ways you get information and form opinions on the school district? Check all that apply.,Are you aware of the school district having a website?,Are you aware of the school district having a strategic plan?,"Rank from 1-5 in each area below on in the leadership of the school district ( superintendent, treasurer, school board ), with 1 being the lowest ranking and 5 being the highest ranking. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Transparency]","Rank from 1-5 in each area below on in the leadership of the school district ( superintendent, treasurer, school board ), with 1 being the lowest ranking and 5 being the highest ranking. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Fiscal management]","Rank from 1-5 in each area below on in the leadership of the school district ( superintendent, treasurer, school board ), with 1 being the lowest ranking and 5 being the highest ranking. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Facilities management]","Rank from 1-5 in each area below on in the leadership of the school district ( superintendent, treasurer, school board ), with 1 being the lowest ranking and 5 being the highest ranking. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Staff hiring and retention]","Rank from 1-5 in each area below on in the leadership of the school district ( superintendent, treasurer, school board ), with 1 being the lowest ranking and 5 being the highest ranking. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Communication with parents]","Rank from 1-5 in each area below on in the leadership of the school district ( superintendent, treasurer, school board ), with 1 being the lowest ranking and 5 being the highest ranking. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Communication with district residents]","Rank from 1-5 in each area below on in the leadership of the school district ( superintendent, treasurer, school board ), with 1 being the lowest ranking and 5 being the highest ranking. Note that if you are on a mobile device you may need to side scroll to rank an item 4 or 5. [Educational excellence]",Decommission Hazel Harvey School and build an addition to the existing Chippewa Intermediate to house Grades K-2 ( including preschool programs ),"Move all school buildings onto the current Chippewa Jr/Sr High School site, purchasing additional property as needed.","Transition to having athletic programs sanctioned by the school district be self-sustaining, meaning any costs outside of salaries should be covered by revenues generated by those programs","Replacing all of the district's current athletic facilities with new, modern facilities.",What other feedback would you like to share about the community?,What other feedback would you like to share about the school district?,What is your employment status?,What form of taxation for school funding do you prefer
45-55,Village,Own,No,Yes,No,Female,5 (Highest),4,3,2,5 (Highest),4,4,2,1 (Lowest),4,5 (Highest),2,5 (Highest),5 (Highest),4,4,4,No,No tax base,5 (Most),4,4,5 (Most),4,5 (Most),5 (Most),2,2,5 (Biggest),2,4,2,3,3,4,"Neighbors/Friends, Newspaper, School Facebook, Community Facebook, Final Forms/Email communication",Yes,Yes,4,4,4,4,5 (Highest),5 (Highest),2,5 (Most),2,3,3,I wish people would not openly complain about issues and address them with people who can change the issue. Also wish there were more people to volunteer. ,We have an excellent district that provides a quality education at a bargain price. People take this for granted everyday! ,Employed for wages,
55-65,Prefer not to answer,Own,No,Yes,No,Male,5 (Highest),4,1 (Lowest),2,5 (Highest),3,1 (Lowest),1 (Lowest),2,5 (Highest),2,4,5 (Highest),5 (Highest),3,3,5 (Highest),No,"Bedroom community--people sleep here but work, dine and play elsewhere",5 (Most),5 (Most),3,4,5 (Most),5 (Most),5 (Most),5 (Biggest),5 (Biggest),5 (Biggest),5 (Biggest),5 (Biggest),3,2,1 (Least),5 (Biggest),Rely on past experiences/history,Yes,No,1 (Lowest),4,1 (Lowest),3,3,1 (Lowest),5 (Highest),3,3,3,1 (Least),none,GREAT TREASURER,Military,Property Tax (millage)
35-45,Village,Own,Yes,Prefer not to answer,Yes,Male,5 (Highest),5 (Highest),4,3,2,5 (Highest),1 (Lowest),3,5 (Highest),2,1 (Lowest),1 (Lowest),5 (Highest),2,4,4,5 (Highest),Yes,Although levy did not pass the community loves the kids and will support them...town and township needs to worry about attracting jobs! School district is by far largest employer in doylestown. Practically the only!,5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),2,2,3,2,1 (Least),1 (Least),1 (Least),1 (Least),2,"Neighbors/Friends, School Facebook, School website, Final Forms/Email communication",No,Yes,3,4,4,5 (Highest),3,3,5 (Highest),5 (Most),1 (Least),2,5 (Most),Caring,Love it,Employed for wages,Earned Income Tax (SDI)
65+,Township,Own,No,Yes,No,Male,5 (Highest),1 (Lowest),1 (Lowest),1 (Lowest),4,1 (Lowest),1 (Lowest),1 (Lowest),1 (Lowest),1 (Lowest),2,1 (Lowest),5 (Highest),1 (Lowest),5 (Highest),5 (Highest),5 (Highest),Yes,"Village moving toward a charter which will allow for the ""old boy network"" to become extinct.  The township willing to progress such as the Dollar General store that unfortunately the ""area pot stirrers"" did not understand and caused a loss of revenue to the area.  The school district moving forward with issues even though the ""area pot stirrers"" do not understand the overall concept of EDUCATION.",5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),1 (Least),1 (Least),5 (Biggest),1 (Least),1 (Least),1 (Least),1 (Least),1 (Least),1 (Least),Personal involvement with the school district,Yes,Yes,5 (Highest),5 (Highest),2,5 (Highest),4,4,5 (Highest),5 (Most),1 (Least),3,3,"It would show the community can progress if the community spoke with the folks who have the real information versus the ""area pot stirrers"" and the folks who are always negative.", ,Retired,Earned Income Tax (SDI)
35-45,Prefer not to answer,Own,No,No,Yes,Male,3,4,2,1 (Lowest),4,3,2,2,4,4,2,2,3,3,4,3,2,Yes,No. ,3,2,3,3,3,3,3,3,4,2,2,,2,3,3,4,"Neighbors/Friends, School Facebook, Community Facebook, Final Forms/Email communication, Rely on past experiences/history",Yes,No,1 (Lowest),3,3,3,1 (Lowest),1 (Lowest),4,5 (Most),2,2,2,A,A,Employed for wages,Property Tax (millage)
45-55,Township,Own,No,Yes,Yes,Female,5 (Highest),5 (Highest),3,1 (Lowest),5 (Highest),3,3,3,1 (Lowest),3,3,1 (Lowest),5 (Highest),3,4,3,3,Yes,I think our future is fine because so many of have lived here for so long we aren’t going anywhere. As far as bringing new families in?? Have to get the unhappy grumpy ones to go so new blood can replace them. Will never understand if Doylestown is so bad why some of them stay. ,5 (Most),5 (Most),5 (Most),5 (Most),4,5 (Most),5 (Most),1 (Least),1 (Least),3,1 (Least),,1 (Least),4,1 (Least),1 (Least),"Neighbors/Friends, Community Facebook, Rely on past experiences/history",Yes,No,1 (Lowest),2,4,5 (Highest),2,2,5 (Highest),5 (Most),3,1 (Least),1 (Least),Let some businesses in to help with taxes,"I think we have a great district and education has been great. My kids were all well prepared for college. Let’s continue to focus on that, not on field houses. Our sports are good and as long as they all have a field to play in we don’t need extras. We don’t even have the numbers for that in our sports. Kids go to college more on brains and artistic abilities than sports. And I had a kid that went to college on sports so not saying that without knowing it. ",Self-employed or own your own business,Earned Income Tax (SDI)
45-55,Village,Own,Yes,Yes,No,Female,2,2,4,2,1 (Lowest),1 (Lowest),1 (Lowest),1 (Lowest),4,4,2,1 (Lowest),5 (Highest),5 (Highest),3,3,1 (Lowest),No,No,3,3,5 (Most),2,2,2,3,3,4,5 (Biggest),5 (Biggest),,4,5 (Biggest),2,5 (Biggest),"Neighbors/Friends, School Facebook, Community Facebook, School website, Final Forms/Email communication",Yes,Yes,1 (Lowest),1 (Lowest),1 (Lowest),2,1 (Lowest),1 (Lowest),3,5 (Most),1 (Least),5 (Most),1 (Least),Community is too invested in athletics and not enough in academics and the arts ,District is spending too much energy on improving athletic facilities and not enough on improving academic environments for the health and safety of the teachers and students. Overall security needs addressed as well. Not enough transparency regarding purchase of turf. ,Prefer not to answer,Property Tax (millage)
35-45,Village,Own,Yes,Yes,Yes,Female,5 (Highest),5 (Highest),4,3,5 (Highest),5 (Highest),3,5 (Highest),4,5 (Highest),4,2,5 (Highest),4,4,4,3,Yes,NA,5 (Most),5 (Most),4,4,4,5 (Most),5 (Most),3,4,5 (Biggest),4,,4,5 (Biggest),5 (Biggest),4,"School Facebook, School website",Yes,Yes,3,1 (Lowest),2,3,4,3,4,1 (Least),1 (Least),1 (Least),5 (Most),NA,NA,Employed for wages,Property Tax (millage)
35-45,Township,Own,Yes,Yes,No,Male,4,4,3,2,5 (Highest),3,1 (Lowest),3,3,2,3,3,5 (Highest),3,5 (Highest),5 (Highest),5 (Highest),Yes,N/a,5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),2,5 (Most),5 (Biggest),5 (Biggest),5 (Biggest),3,,3,3,4,3,"Neighbors/Friends, School Facebook, Community Facebook, Final Forms/Email communication",Yes,Yes,4,2,3,3,5 (Highest),5 (Highest),5 (Highest),5 (Most),5 (Most),3,3,N/a,N/a,Employed for wages,Property Tax (millage)
45-55,Village,Rent,No,Yes,No,Female,2,3,4,1 (Lowest),4,1 (Lowest),1 (Lowest),1 (Lowest),1 (Lowest),2,4,3,1 (Lowest),2,5 (Highest),5 (Highest),2,No,no,3,1 (Least),4,3,1 (Least),1 (Least),5 (Most),2,2,3,3,,5 (Biggest),2,2,1 (Least),Rely on past experiences/history,Yes,No,5 (Highest),2,5 (Highest),5 (Highest),1 (Lowest),1 (Lowest),3,2,3,3,1 (Least),none,none,Employed for wages,Earned Income Tax (SDI)
25-35,Village,Rent,Yes,Yes,No,Male,5 (Highest),1 (Lowest),3,1 (Lowest),4,1 (Lowest),1 (Lowest),1 (Lowest),5 (Highest),2,2,2,5 (Highest),1 (Lowest),3,3,3,No,"No businesses coming in, stuck in old ways and not really willing to change.",5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),5 (Most),3,3,3,3,,3,1 (Least),3,3,"Neighbors/Friends, School Facebook, Community Facebook, School website, Final Forms/Email communication",Yes,Yes,3,3,3,3,3,3,3,4,3,5 (Most),2,No,Teachers I've encountered since I move to town have been great. Both at hazel Harvey and cis,A homemaker,Property Tax (millage)
55-65,Village,Own,No,Yes,No,Female,4,1 (Lowest),4,4,5 (Highest),4,2,3,4,3,3,3,4,4,5 (Highest),5 (Highest),4,Yes,No,5 (Most),4,4,3,4,5 (Most),5 (Most),1 (Least),2,3,2,,2,4,4,4,Community Facebook,Yes,Yes,2,2,3,3,2,2,4,5 (Most),3,1 (Least),3,None,None,Retired,Property Tax (millage)
